2017-04-05 17:58:24,357 [Worker-23] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/mleduc/dev/ecore/clean-grammar/ale.java.compiler/src/test/resources
2017-04-05 17:58:29,006 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-05 17:58:29,006 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/mleduc/dev/ecore/clean-grammar/ale.java.compiler/src/main/resources
2017-04-05 17:58:29,008 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-05 17:58:29,009 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/mleduc/dev/ecore/clean-grammar/ale.java.compiler/src/test/resources
2017-04-05 17:58:39,880 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-05 17:58:39,881 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/mleduc/dev/ecore/clean-grammar/ale.java.compiler/src/main/resources
2017-04-05 17:58:39,882 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-05 17:58:39,883 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/mleduc/dev/ecore/clean-grammar/ale.java.compiler/src/test/resources
2017-04-05 17:58:42,458 [Worker-27] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-05 17:58:42,460 [Worker-27] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/mleduc/dev/ecore/clean-grammar/ale.java.compiler/src/main/resources
2017-04-05 17:58:42,467 [Worker-27] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-05 17:58:42,470 [Worker-27] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/mleduc/dev/ecore/clean-grammar/ale.java.compiler/src/test/resources
2017-04-05 17:58:54,697 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-05 17:58:54,698 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/mleduc/dev/ecore/clean-grammar/ale.java.compiler/src/main/resources
2017-04-05 17:58:54,699 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-05 17:58:54,700 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/mleduc/dev/ecore/clean-grammar/ale.java.compiler/src/test/resources
2017-04-05 17:59:31,162 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-05 17:59:31,162 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/mleduc/dev/ecore/clean-grammar/ale.java.compiler/src/main/resources
2017-04-05 17:59:31,163 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-05 17:59:31,164 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/mleduc/dev/ecore/clean-grammar/ale.java.compiler/src/test/resources
2017-04-05 17:59:53,073 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-05 17:59:53,073 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/mleduc/dev/ecore/clean-grammar/ale.java.compiler/src/main/resources
